LotArea,NumBedrooms,NumBathrooms,SqftLiving,NumFloors,AgeOfHouse,Location,Condition,SalePrice
3097,1,1,2144,1,22,Downtown,Poor,479884.57588274
7898,3,2,2190,2,63,Suburb,Good,554007.7822082748
7398,1,1,2003,2,81,Rural,Poor,367394.21746836195
6464,1,3,1682,2,64,Rural,Average,329843.42766860384
5542,5,2,2191,2,37,Downtown,Poor,530288.9031234932
6621,1,3,2641,2,45,Downtown,Good,658058.758701172
7862,2,3,2592,2,47,Suburb,Good,583477.4535794519
6494,2,2,1728,2,8,Suburb,Poor,383388.5136925239
12324,1,1,2435,2,48,Downtown,Average,584411.9976938264
5578,5,1,2070,1,41,Suburb,Good,560662.0237167779
5913,3,3,1927,1,33,Downtown,Excellent,608127.2618872352
2922,5,2,1547,2,85,Suburb,Average,431900.42653504736
8002,5,2,994,2,96,Suburb,Poor,283102.7667851086
3467,3,3,1974,1,80,Downtown,Excellent,604130.4940475909
6421,2,2,2281,1,17,Rural,Excellent,577101.0569352306
6948,4,3,2118,2,26,Rural,Good,512915.17501583026
6080,5,2,1691,1,5,Suburb,Poor,385098.1872157987
10977,2,1,1864,2,43,Downtown,Average,523075.8742659209
9488,1,3,2897,2,22,Suburb,Average,583097.6379766777
10138,5,2,1596,2,68,Suburb,Average,391033.1775103236
5735,5,2,2788,2,56,Rural,Good,588863.6720847157
9757,1,2,2102,1,73,Rural,Good,449822.63591619115
8492,4,3,2151,2,85,Suburb,Good,550322.0798945023
9042,4,2,1887,2,43,Rural,Excellent,533341.3320400937
9558,3,2,1107,1,21,Suburb,Average,380705.15651759837
5682,1,2,2135,2,63,Rural,Good,480911.49952913605
6651,2,3,2883,1,56,Suburb,Excellent,674419.2389890727
9225,2,3,2612,2,25,Rural,Excellent,583874.9971580845
2188,4,1,2035,2,15,Downtown,Excellent,605079.0086479374
10526,3,3,2250,1,33,Suburb,Excellent,587447.9889803376
8606,3,3,2086,1,88,Suburb,Excellent,572279.4341041058
7408,2,3,1752,2,69,Rural,Average,387922.2336642697
7941,3,1,1858,1,62,Suburb,Excellent,535144.5445213586
5440,4,1,1751,2,70,Downtown,Good,560512.0600213609
6800,4,2,1748,1,55,Rural,Poor,336226.5385053557
9700,3,3,2318,2,13,Downtown,Poor,549995.5452610363
10096,4,2,3448,2,91,Rural,Average,645615.6108950335
12892,4,2,1347,2,12,Rural,Average,304851.5931004845
7352,3,2,2205,1,2,Rural,Poor,397983.4644050247
6182,4,3,1974,1,84,Rural,Average,389188.2997104193
6471,1,3,1916,2,62,Downtown,Average,499296.7545101448
5463,4,1,2425,2,0,Suburb,Good,613265.5354436345
7344,5,1,2523,2,19,Downtown,Good,639783.2707261582
8265,2,2,1925,2,35,Suburb,Excellent,540639.4494321931
7431,1,2,2208,1,86,Downtown,Good,609567.7281696848
9692,3,3,2679,2,19,Rural,Average,520673.52272159397
7031,2,1,1851,2,1,Rural,Good,440030.1085809384
6805,5,2,2455,2,30,Downtown,Good,661832.11605769
6337,2,2,1768,2,99,Suburb,Good,465147.6557558741
4234,4,1,1471,1,60,Rural,Average,326675.61045281304
4364,2,3,2693,2,76,Rural,Good,564111.2249820434
5141,3,2,1987,2,63,Rural,Excellent,483009.81947351043
10102,4,3,1874,2,25,Rural,Good,441578.8069885599
9290,4,2,1255,2,49,Downtown,Average,372665.38983011426
10249,5,3,1789,2,17,Rural,Average,375226.3641481872
4835,2,2,2481,2,80,Downtown,Good,630148.1594762632
3562,5,2,1424,1,15,Suburb,Average,391553.7453158837
6179,4,2,2399,1,25,Suburb,Good,581623.584121842
7851,4,3,1568,1,79,Downtown,Excellent,545030.8064021129
8497,5,1,1587,2,57,Downtown,Poor,433747.16275528487
9595,4,3,1969,1,40,Downtown,Poor,501313.627252824
8068,2,3,2666,2,27,Suburb,Average,585836.332911495
10985,1,3,1786,2,10,Downtown,Poor,428537.0260229547
7054,5,2,2003,1,8,Rural,Excellent,565769.5411039433
5673,3,2,1453,1,88,Rural,Excellent,431531.37379830476
4137,1,3,1381,2,20,Rural,Good,379287.84459681227
5722,3,3,2089,1,79,Downtown,Average,521485.6550011945
7984,4,2,2277,1,94,Downtown,Average,575497.0386737922
5722,1,1,2035,2,51,Suburb,Average,454519.5145038024
9373,4,2,1756,2,89,Downtown,Good,525694.1424365775
10324,4,2,2501,2,56,Downtown,Excellent,691203.8081319878
2760,5,3,2424,1,9,Rural,Excellent,609912.2300563959
9228,3,3,2555,1,95,Rural,Average,454146.1267884943
3020,2,2,1944,1,35,Downtown,Good,519370.82075828454
8302,5,3,2833,2,73,Rural,Poor,546711.9143150972
9949,5,2,1894,2,9,Rural,Average,416579.031029174
7629,3,1,2348,1,16,Downtown,Poor,533422.7084523927
4940,5,3,2034,1,13,Suburb,Good,565847.2563542795
6329,3,1,2292,1,97,Rural,Poor,406035.73036219546
6976,5,2,1911,1,40,Suburb,Average,470698.1226365496
7135,1,1,1734,2,97,Rural,Poor,327629.4833733021
7094,3,3,2385,1,53,Rural,Average,455615.9447284
7280,2,1,1949,1,45,Rural,Poor,364931.5752679181
7926,5,3,2512,2,19,Rural,Poor,509801.5816827085
5082,1,1,1436,2,12,Suburb,Poor,358732.1557300637
7015,2,3,2265,1,9,Downtown,Poor,549570.9406095778
10536,5,2,1341,1,41,Rural,Average,320008.8346864801
6730,5,1,2152,2,16,Rural,Poor,404818.02127546776
6612,4,1,1768,1,35,Rural,Poor,382056.02393362595
9656,5,1,2232,1,69,Rural,Excellent,537458.2980029453
2381,2,3,2621,2,33,Downtown,Poor,556121.2499192948
9862,2,1,2954,2,35,Suburb,Excellent,706873.9169930394
6236,1,1,1269,1,69,Suburb,Average,319091.80107473856
7827,4,3,1972,1,90,Suburb,Poor,423873.3550206844
7692,1,3,2099,2,93,Downtown,Poor,468836.76698656194
9384,1,1,2008,1,49,Suburb,Average,439841.7368513038
6964,5,1,2245,2,32,Suburb,Poor,464156.03179604595
6143,1,3,2088,2,46,Downtown,Excellent,625632.0223846427
10095,3,1,1673,1,76,Downtown,Excellent,578381.9382363618
2771,4,1,720,2,35,Downtown,Good,360449.70914451196
7540,5,2,2668,1,45,Rural,Poor,474108.5448876796
4804,3,2,1720,1,4,Suburb,Good,533638.683747493
5976,2,1,2088,2,5,Suburb,Poor,423002.8089528045
11522,4,2,2665,1,41,Downtown,Excellent,748232.2475631358
7410,2,2,2818,1,89,Rural,Poor,503138.5679166694
7890,2,3,2360,2,89,Downtown,Average,558008.2024325598
3936,5,1,2225,1,54,Rural,Good,473287.6905995165
6041,3,1,1606,2,53,Downtown,Poor,390863.25450240844
7893,4,2,1667,2,3,Rural,Excellent,479251.1124239548
8209,5,2,1625,1,44,Downtown,Excellent,601403.3727497824
8733,1,1,2293,2,27,Suburb,Poor,470864.6977111167
7517,4,3,3056,1,89,Downtown,Excellent,775952.3270558936
8554,5,1,2179,2,44,Rural,Poor,407611.7471756715
8407,4,3,1803,2,49,Rural,Excellent,452969.39001104614
3840,4,1,1432,1,41,Downtown,Poor,398885.6617705957
7574,5,1,1642,1,82,Suburb,Poor,369010.9280272021
9035,2,3,2498,2,74,Suburb,Excellent,602134.7766155902
8679,2,3,1438,1,59,Suburb,Good,392629.0249155085
6772,5,3,1704,1,90,Suburb,Average,408180.62909694854
5888,4,3,1605,1,84,Rural,Average,330929.99457676127
5263,2,3,2391,2,96,Rural,Good,539411.2310996674
7237,3,3,1964,2,12,Suburb,Average,471769.93721430126
9766,1,3,1117,2,81,Suburb,Average,295877.11974331614
3596,1,2,1706,1,93,Downtown,Excellent,545418.5291134736
6180,3,1,1665,2,73,Suburb,Good,468260.19171349495
5220,3,3,2458,2,69,Downtown,Average,564557.3010846424
9069,3,2,1467,2,66,Suburb,Poor,352801.4881820104
6391,4,1,1476,1,65,Rural,Average,355254.0999290747
6558,2,1,1052,1,56,Suburb,Average,289859.8310066261
7066,3,1,2458,1,99,Downtown,Poor,562947.167360685
8390,5,2,2308,1,19,Rural,Excellent,560380.245320023
6715,1,2,1623,2,20,Rural,Good,369954.7990661215
1407,1,1,1727,2,37,Suburb,Excellent,518661.04846307554
8586,3,2,1203,1,11,Downtown,Poor,346699.3254777544
8378,2,2,1807,2,18,Downtown,Good,529833.2650139172
7060,3,3,1759,2,34,Downtown,Excellent,593400.3042306321
5331,5,2,2220,1,54,Rural,Poor,411097.2816526274
8203,3,1,1484,2,25,Rural,Good,391911.60011934687
8258,4,1,1709,2,82,Suburb,Excellent,533744.4011936494
6559,3,2,2040,1,43,Downtown,Poor,449455.0267904943
7066,4,2,1774,2,45,Downtown,Poor,439839.2909213967
5639,2,1,2305,2,48,Rural,Poor,422155.94687507773
7142,2,1,2269,2,9,Rural,Good,504894.2048654389
4399,5,2,2536,1,27,Downtown,Excellent,715482.753361965
8334,2,2,2384,2,23,Suburb,Good,563385.7983039699
5611,4,3,1506,1,1,Suburb,Good,461223.70759174624
7976,2,1,1927,2,54,Suburb,Average,471857.4865296996
4688,4,2,2223,1,19,Rural,Average,425828.86763511144
6319,5,2,1162,2,6,Suburb,Poor,313229.1221440271
7279,4,2,2102,1,28,Rural,Excellent,543637.688029627
4178,3,1,2244,2,92,Downtown,Poor,454580.71817821614
7730,2,3,1924,1,93,Downtown,Poor,457515.6657383005
6741,1,2,1329,2,95,Downtown,Poor,359729.1711355751
4015,3,3,1901,2,80,Downtown,Poor,460874.3764997059
4893,4,1,2514,1,49,Rural,Average,506523.62410089246
8710,3,3,2446,1,43,Downtown,Poor,562507.2386896809
9291,3,3,2351,1,31,Downtown,Average,611670.338989756
7236,3,3,1645,2,65,Suburb,Excellent,498183.13667665655
8309,3,1,1057,1,24,Rural,Average,263022.02889699873
7947,4,1,2064,2,34,Downtown,Poor,487408.274443805
8159,2,2,1977,2,42,Rural,Good,469439.2102988919
10071,2,2,851,2,75,Rural,Excellent,340557.6552256499
4486,3,2,1492,1,91,Rural,Average,356274.8649899687
8852,1,3,2075,2,95,Rural,Average,418397.9636907627
6735,2,3,2167,2,40,Suburb,Good,509730.6953288374
7051,4,3,2271,2,0,Downtown,Average,544313.9396469697
6895,4,1,2099,1,67,Downtown,Good,539968.3273942666
6749,2,2,1753,2,66,Rural,Poor,320384.0695303601
5047,4,1,2107,1,66,Suburb,Poor,471183.32928745676
7866,4,3,2135,1,45,Suburb,Poor,513136.70877141505
10841,5,2,2299,2,81,Suburb,Average,507383.3586048918
7387,4,1,2147,1,12,Rural,Good,491608.37350455014
7497,2,2,2102,1,87,Rural,Excellent,520574.4743168905
6125,2,2,1879,2,6,Downtown,Good,516347.5929404047
7265,1,2,1691,1,86,Suburb,Average,385307.69144441595
8432,3,3,2571,1,60,Downtown,Good,637247.3778735434
6759,2,3,2087,2,51,Downtown,Average,510491.3613476279
6592,4,2,3035,2,56,Suburb,Average,586753.7708935131
8306,1,3,2781,1,78,Rural,Average,515832.96444726054
5663,5,1,2922,1,45,Rural,Excellent,672536.6888774844
8004,1,1,2406,2,64,Suburb,Poor,474017.93579747836
9140,4,1,2469,2,20,Downtown,Excellent,694643.0393882613
10219,2,3,2565,2,36,Suburb,Good,600883.0608167552
7319,1,2,1954,2,96,Downtown,Good,506854.92068979243
10235,4,1,2588,1,18,Suburb,Excellent,696732.1012707332
9568,5,1,1338,2,50,Suburb,Excellent,459912.0579439738
5507,1,3,2407,1,35,Suburb,Average,535501.6985687905
5064,4,3,2178,1,25,Suburb,Poor,451730.2253341714
6890,3,3,2582,1,94,Rural,Average,504050.80659459694
9557,2,2,2353,1,95,Suburb,Average,466674.51383491163
7355,4,2,1753,2,59,Downtown,Average,507695.94362213905
6298,3,3,1871,1,15,Downtown,Good,538744.2951645091
10604,2,1,1788,1,88,Downtown,Excellent,520352.85480605107
8073,2,3,1589,1,22,Suburb,Good,434768.63710240275
2858,2,1,1822,1,66,Rural,Poor,331919.1461212917
8134,3,3,2782,2,23,Downtown,Average,606328.5744175474
8540,1,2,1894,1,33,Rural,Average,413727.70891927974
7951,3,1,2827,1,72,Downtown,Good,666538.6242585514
8399,3,2,1605,1,47,Rural,Excellent,409800.74607847724
7365,4,1,2242,1,59,Downtown,Average,521932.2720758986
4863,4,1,1773,1,56,Rural,Poor,348779.0801647505
6758,5,3,2264,2,79,Suburb,Poor,486957.4467937096
5608,3,1,1566,2,19,Rural,Excellent,452340.7119954456
5634,3,3,2420,1,78,Downtown,Poor,502452.7607932994
4973,5,2,1710,2,38,Downtown,Average,454114.9023735549
8404,3,3,2156,1,37,Suburb,Good,548762.6233318283
7695,3,2,1858,2,35,Downtown,Good,534073.035187248
6603,5,2,2441,1,11,Rural,Average,498511.18189229525
6201,5,3,2585,1,28,Suburb,Average,571916.9135212238
7453,5,1,2044,1,99,Downtown,Good,571549.057070241
9658,2,2,1708,1,42,Downtown,Excellent,527016.2242929053
3491,4,1,2028,1,95,Rural,Excellent,488614.6819084535
8253,5,2,2091,1,45,Rural,Poor,395125.85963139543
6408,2,2,2486,1,81,Rural,Poor,468612.26517331024
3730,4,2,1616,1,41,Rural,Poor,348440.5600950579
3608,5,3,1484,1,78,Downtown,Excellent,536991.4894232792
5674,3,3,1980,2,40,Rural,Poor,384986.332864597
7939,3,2,2113,2,35,Suburb,Excellent,577173.8017028484
8286,4,3,2140,2,62,Suburb,Excellent,602225.9940115866
5622,1,3,2160,2,37,Downtown,Average,554908.034150853
9534,4,2,1862,1,95,Rural,Poor,365874.7361386888
10345,2,2,1077,2,55,Downtown,Good,440829.69223280495
8292,3,3,2047,1,34,Downtown,Excellent,628770.1850758883
6317,3,3,2107,2,31,Suburb,Good,499757.79347824684
9748,5,2,1496,2,83,Rural,Good,367415.6958537459
9010,2,3,2125,1,19,Downtown,Good,552616.6105835397
9234,1,2,2414,2,57,Suburb,Poor,504762.28462612483
6187,2,1,2995,2,23,Suburb,Good,645419.0523035971
1830,2,2,1476,1,76,Downtown,Poor,373253.5897325621
11733,2,2,1557,2,80,Rural,Poor,285304.52429518104
4278,2,2,2398,2,97,Rural,Average,417582.1204241143
7428,1,1,2265,2,55,Downtown,Good,568125.3761141945
12261,2,2,1844,2,30,Suburb,Poor,397572.0593208106
8161,1,2,2358,1,91,Rural,Poor,443909.4292374898
9398,4,2,2444,2,3,Downtown,Good,676502.0871870946
4495,2,1,2116,2,86,Rural,Good,453958.2176900796
3944,5,1,3027,2,1,Downtown,Excellent,760417.2041837712
6434,1,3,1366,2,14,Rural,Good,384190.68132211204
9681,1,1,1194,2,27,Suburb,Excellent,443805.1260268285
6807,2,2,1335,2,0,Downtown,Good,470808.5953057645
5910,5,2,1906,2,9,Downtown,Average,466423.53386449063
7895,5,3,2125,2,35,Downtown,Excellent,659616.587567643
9663,2,3,3175,2,78,Downtown,Poor,647508.6088474501
4610,5,2,1329,1,32,Rural,Poor,274812.93736957625
5078,1,3,2703,1,58,Downtown,Good,644167.3616104482
5922,2,1,1836,2,26,Suburb,Excellent,534230.6976404585
9689,2,2,2678,2,12,Rural,Poor,487628.21045241127
7969,2,2,2781,2,52,Rural,Poor,503140.45067394077
11764,4,1,1310,1,57,Downtown,Average,408226.7123264967
9372,2,2,1440,2,45,Suburb,Average,365438.0754544595
7429,3,2,703,1,78,Suburb,Excellent,333194.7022342099
10030,3,1,997,2,19,Rural,Poor,254609.35607732515
7922,1,3,2183,2,93,Downtown,Average,480688.2814903934
6090,4,2,1722,2,81,Rural,Good,446890.26393321453
8859,4,1,1676,1,70,Downtown,Excellent,573245.8342744341
6107,5,1,1746,1,33,Suburb,Average,432111.03459316934
6919,2,3,1250,1,77,Downtown,Average,409798.7292018004
10155,3,3,1028,2,86,Downtown,Good,413548.1768770319
7297,4,2,2310,2,43,Downtown,Excellent,670221.6496569986
5893,3,1,1951,2,0,Rural,Good,481547.9562416631
6571,3,2,2650,2,57,Rural,Excellent,577825.9229243101
9543,2,1,1478,2,22,Rural,Average,350606.65650114266
6394,3,1,1344,1,14,Rural,Excellent,415980.24741720426
6726,1,2,2442,1,69,Rural,Excellent,529498.144530942
6479,1,2,1899,1,10,Suburb,Average,431912.05361887807
7867,4,1,2261,1,67,Suburb,Excellent,602722.99011449
6729,4,1,2189,2,4,Downtown,Average,571293.4379932113
4296,5,2,2206,2,52,Suburb,Average,533058.8355961343
5725,3,3,1768,1,60,Rural,Excellent,470473.1518026252
5634,4,1,1619,2,52,Downtown,Excellent,569903.8985831962
9986,2,3,1982,2,63,Suburb,Good,512609.56490209856
9125,4,2,2076,2,94,Downtown,Poor,484404.7472213885
8674,1,3,1573,1,5,Rural,Excellent,469132.14979318593
6489,3,3,1664,1,11,Rural,Poor,356474.8620597429
5868,1,1,1912,1,60,Suburb,Good,486739.58860880363
6484,4,1,2700,2,13,Rural,Average,550299.2292940945
5396,4,3,1847,2,12,Downtown,Average,525965.0197457375
12494,1,1,2350,1,7,Downtown,Excellent,664882.2419956748
3009,5,3,1551,1,56,Downtown,Poor,388765.17366558686
8628,5,3,1087,2,5,Suburb,Excellent,413895.39962019544
4930,4,2,1607,1,57,Downtown,Poor,453298.18329592835
7291,5,3,2916,2,10,Downtown,Average,685224.3267337763
5523,1,2,1445,1,30,Rural,Good,371943.7529420242
5144,3,1,2326,1,3,Suburb,Excellent,617049.0603604509
5219,4,3,857,2,98,Suburb,Good,324703.22529567085
11009,2,2,2109,1,61,Suburb,Good,557199.9033401333
7234,5,2,1715,2,1,Suburb,Average,457048.8901574157
5968,5,2,1884,1,43,Rural,Average,392819.5486614335
8611,2,3,1875,1,16,Suburb,Average,456822.0072517884
7520,2,1,1952,2,39,Suburb,Average,445694.0500279521
8940,1,3,2454,1,17,Downtown,Poor,564618.8769023053
3851,1,1,1746,2,52,Suburb,Good,502214.59945658146
8107,5,2,1089,2,52,Suburb,Excellent,431877.14677927835
9045,3,3,1177,2,7,Rural,Poor,220245.10613290267
4176,1,2,2208,1,18,Suburb,Excellent,608605.5381028859
8396,1,1,2035,2,21,Suburb,Average,483786.1295622411
10892,4,2,2069,2,22,Rural,Excellent,557234.9280613586
7470,4,2,1819,1,30,Rural,Poor,355896.73204316467
9142,1,1,2417,1,68,Suburb,Poor,449083.18220954324
8841,3,1,2146,1,95,Rural,Excellent,521119.91198987816
6084,5,2,1369,1,3,Suburb,Excellent,478855.18511478114
7579,2,1,1645,1,49,Downtown,Poor,426563.9430626662
4366,1,3,2135,2,9,Rural,Good,499049.64934721455
6597,3,3,1851,1,9,Rural,Average,414438.76840223133
8031,3,1,1721,1,34,Rural,Average,383492.11598781263
8946,3,3,2056,1,94,Suburb,Good,482121.14052616304
7549,1,2,828,2,76,Downtown,Good,345185.2121249888
8939,1,1,1917,2,48,Downtown,Good,538399.6718654956
5294,3,3,1671,1,49,Suburb,Excellent,531958.4736673771
7296,3,1,1985,2,8,Rural,Good,424975.8041339989
7538,1,3,2296,1,24,Downtown,Average,543626.1848633535
11199,5,1,2408,2,36,Downtown,Good,656911.4220425005
7071,1,2,1704,2,9,Suburb,Average,427665.46453035285
6501,4,2,2638,1,6,Rural,Good,585935.0849398071
7542,3,1,1326,2,8,Rural,Average,331270.0194123078
5661,5,3,1481,2,81,Downtown,Poor,381256.96025981643
7885,2,3,1702,2,73,Rural,Poor,339543.96896440454
6769,1,1,2560,1,57,Suburb,Excellent,611087.3722711403
3917,3,3,2126,1,1,Suburb,Good,572515.6962612858
7382,1,3,2476,1,36,Downtown,Good,610209.4791481298
6864,2,1,2263,2,0,Suburb,Average,474711.2154157394
4235,1,3,2030,2,58,Downtown,Average,537519.2123727442
7365,5,2,1259,2,41,Rural,Poor,266360.7197055893
10478,2,3,2201,2,78,Downtown,Average,526150.4996956993
8542,4,1,2955,1,54,Suburb,Good,674255.7278347895
8723,4,1,1712,1,91,Downtown,Average,467485.78444415133
4817,3,1,1612,2,26,Rural,Poor,304158.71885316685
8453,4,2,2012,1,34,Suburb,Excellent,626994.6488944315
7796,1,3,1945,2,69,Rural,Excellent,482941.3293075496
8558,5,1,2482,1,7,Downtown,Poor,564640.1790514883
8345,4,1,2260,1,82,Downtown,Poor,491072.05201338173
4780,3,1,2609,1,15,Suburb,Average,544784.9614776426
7417,1,3,2053,1,29,Rural,Excellent,538294.8721940813
5984,3,3,1803,2,80,Rural,Excellent,453259.31625723554
7399,3,3,2580,1,61,Downtown,Poor,566184.7977003811
5705,5,3,2089,1,50,Suburb,Good,540832.6211700422
10124,5,3,1860,2,3,Rural,Good,485735.4461401601
5782,3,3,1618,2,49,Downtown,Poor,406888.9425715032
5702,3,1,2126,2,69,Downtown,Average,511653.86288876616
7649,4,2,1883,2,90,Downtown,Good,531818.775566461
5345,4,1,2022,1,34,Rural,Poor,390062.3460146172
6650,2,2,2584,1,97,Rural,Average,525655.632193766
5840,5,1,2161,1,88,Downtown,Poor,513315.75156188844
10322,4,1,2341,2,53,Downtown,Excellent,658861.9980704497
9071,3,2,2712,1,42,Rural,Poor,478692.49752647715
7385,4,1,2148,1,34,Suburb,Average,481517.33253785665
6717,2,2,2560,1,74,Suburb,Average,566552.1385075909
9381,4,2,1270,2,66,Rural,Average,320798.3839530011
8310,3,2,2054,2,65,Rural,Average,421612.2754474553
8496,4,1,2897,1,64,Downtown,Good,692564.0605786068
7447,4,3,1161,1,43,Suburb,Excellent,414917.38823668717
4123,5,1,2724,1,11,Downtown,Excellent,731229.1324844607
7275,5,1,2455,1,71,Rural,Poor,450721.0179389552
6435,2,2,2337,1,35,Downtown,Average,560330.5690425647
8790,2,2,2692,2,17,Suburb,Average,570085.7150630213
9523,4,3,2073,2,72,Downtown,Poor,497130.59937215724
6184,5,2,1400,2,37,Downtown,Poor,423123.525533737
8436,5,3,2078,2,32,Downtown,Average,527254.0887244561
10971,4,1,1634,2,65,Rural,Excellent,470572.07572396065
6164,5,2,1252,1,4,Suburb,Good,371678.6760306343
10863,1,1,1644,1,81,Suburb,Excellent,466239.8314965895
5794,3,3,1713,1,92,Downtown,Average,449555.1475793558
7545,1,3,2036,2,59,Suburb,Excellent,563045.3748304768
7477,1,3,2594,2,95,Rural,Good,548162.8347604709
7522,1,1,2223,1,81,Downtown,Good,573055.7309049754
5824,5,3,2245,1,36,Rural,Average,478075.9164844134
6317,4,3,1809,2,64,Downtown,Excellent,640967.679462411
6164,2,1,1169,1,83,Downtown,Average,364844.9674180122
8153,3,1,3072,2,25,Rural,Excellent,658854.5446579995
8160,3,3,2684,2,29,Downtown,Good,653742.3982634662
11951,1,2,2625,2,7,Rural,Excellent,615622.9174111303
10241,2,3,2772,1,90,Downtown,Average,539455.217994795
6480,4,2,2163,2,6,Rural,Poor,423206.21468594024
8149,2,1,2554,2,31,Suburb,Average,537248.3626134263
9494,2,1,1740,2,59,Suburb,Average,385809.7672428777
7561,3,1,1290,2,67,Downtown,Average,420661.10845007235
7360,5,1,2621,2,4,Suburb,Average,569686.2006653268
7603,1,1,1962,1,1,Rural,Poor,380946.7465317883
9234,5,1,1335,1,76,Rural,Good,359989.81197150226
5803,3,1,1092,1,8,Rural,Poor,248746.64815617085
6848,2,2,1796,1,63,Rural,Poor,327491.9555661863
8440,1,3,2576,1,33,Downtown,Average,563052.1406435814
8122,4,3,1329,1,33,Rural,Average,344004.3947600696
7979,4,1,2031,1,29,Downtown,Excellent,576068.6466536884
6760,2,1,1801,2,29,Suburb,Average,428813.95302717166
9445,5,1,2674,2,86,Suburb,Poor,540687.6140058651
11767,5,3,1676,1,63,Suburb,Average,435460.68501483183
8312,1,2,2286,1,25,Suburb,Average,483401.7619522523
7113,3,2,1743,2,93,Rural,Poor,350848.1195517868
9011,5,2,2234,2,56,Rural,Excellent,582904.9913848027
6421,4,3,1354,2,67,Downtown,Good,472746.93225541385
6000,4,2,2108,2,91,Rural,Poor,388074.41465170344
7565,4,1,1306,2,40,Suburb,Average,376251.6254960552
2334,5,1,1235,2,13,Downtown,Excellent,499272.05805172847
5192,2,3,1927,1,90,Suburb,Good,489418.59909469326
6804,5,2,1296,2,44,Rural,Average,320297.01938877284
4793,5,3,2210,1,24,Downtown,Poor,513618.33554173604
5434,1,3,2580,1,98,Downtown,Good,633163.4468637202
6626,3,2,2014,1,48,Rural,Average,441689.08002720174
4214,5,2,2184,2,25,Downtown,Poor,549744.6607902973
6687,5,1,2455,1,60,Downtown,Average,600470.0320984316
6429,3,2,3009,2,37,Downtown,Average,665444.968059156
7550,4,2,1793,1,31,Rural,Poor,385261.1206733364
9808,3,1,2274,1,15,Rural,Good,493340.1711994552
7845,5,1,2292,1,86,Suburb,Good,547270.1363516685
7542,2,1,1068,1,97,Downtown,Excellent,474572.5287312338
7698,1,1,2234,2,11,Downtown,Good,606971.6226792192
7954,1,2,1982,2,17,Downtown,Poor,457081.27797619917
5466,3,3,2047,1,28,Suburb,Poor,412579.460149611
7270,3,3,2646,1,43,Suburb,Poor,545947.6831785508
8117,4,3,887,2,20,Suburb,Excellent,414998.49513864575
4758,1,1,1607,1,36,Suburb,Average,408724.61806781683
9231,3,2,2252,2,8,Suburb,Excellent,613479.6400082799
9662,5,3,1251,2,47,Downtown,Poor,390038.29657902673
6237,5,2,1487,2,5,Suburb,Good,464752.5172750299
7017,2,2,1965,1,30,Downtown,Average,475658.1155413785
5743,2,1,1665,1,60,Suburb,Average,411358.30648661515
8898,3,1,2667,2,51,Suburb,Excellent,654479.5002673045
5377,4,2,2062,2,47,Rural,Excellent,516625.39939009864
7055,4,2,2329,2,51,Rural,Good,523395.70043677045
5782,4,2,2072,2,2,Downtown,Excellent,655887.0060196968
7601,4,2,2102,1,84,Downtown,Good,607354.1115042606
3911,1,2,1815,1,88,Rural,Good,408213.5424642735
10152,4,2,2513,2,13,Downtown,Average,622745.3300704152
5570,2,1,2317,2,62,Downtown,Good,610988.1559870563
7619,2,2,1129,1,83,Suburb,Good,367062.8613590931
7074,1,2,2319,1,33,Rural,Poor,437973.1942244098
5975,3,3,2347,2,38,Suburb,Average,502393.9642225221
5724,5,3,1831,1,92,Suburb,Average,470869.60545358126
9372,2,3,2550,2,80,Rural,Good,530560.9972683832
6448,2,1,1745,2,19,Rural,Good,474988.5147373575
8042,1,2,2030,1,36,Suburb,Poor,463264.1735928517
5897,2,1,2793,1,15,Downtown,Excellent,758439.3603957117
6205,5,2,1870,2,37,Downtown,Average,485280.59161823423
8444,1,1,2267,1,10,Rural,Average,427625.4848110557
9360,4,1,1650,2,51,Suburb,Poor,385282.33458529756
7149,4,1,2304,1,19,Rural,Good,494911.7953112895
4656,4,1,2159,2,53,Rural,Average,417942.5165226027
11495,5,3,2139,2,41,Downtown,Poor,506763.48952822847
5786,3,1,2132,1,9,Suburb,Good,571346.6566079977
4416,2,1,3064,1,77,Suburb,Average,594224.4112426364
12688,5,2,2721,2,73,Suburb,Poor,562485.8554701678
6691,3,2,2677,2,29,Downtown,Excellent,725764.4100341165
4576,1,3,1784,1,65,Suburb,Excellent,497154.1260497284
6133,5,1,2278,1,55,Rural,Poor,419951.2646143704
8235,1,2,1852,2,83,Downtown,Good,498407.1249685147
7880,3,1,1895,1,96,Rural,Excellent,476905.21206413646
5796,5,1,1630,1,34,Rural,Average,364640.95732301194
11145,2,1,2165,1,58,Suburb,Poor,453828.5626753708
6456,3,2,1663,2,30,Downtown,Good,486467.64081317896
5130,2,2,1748,2,53,Rural,Poor,343152.88393856294
9421,1,1,1444,1,36,Suburb,Good,418900.2229743025
10158,2,1,1384,2,26,Rural,Poor,304424.1837753719
5865,5,1,1443,1,40,Rural,Average,355671.23725063953
4697,5,2,1945,2,0,Suburb,Average,477511.8641049948
9560,4,1,2088,1,17,Rural,Good,477542.0315602724
3405,2,3,2749,1,58,Downtown,Poor,584004.5559276199
5046,4,1,1916,1,95,Suburb,Excellent,510977.91355855437
9434,3,3,1057,1,87,Downtown,Good,399520.2031281558
7389,1,2,1134,2,32,Downtown,Good,437350.8443764081
